703.0830885949703, 545.7559938523914
1835.938347605004, 518.4540275588289
2651.571399368625, 487.48845932492657
3829.55718263713, 422.237893797067
5644.98732575819, 358.29006819769205
8492.71525408072, 313.5344668179052
11075.05516186932, 268.7945786919712
14150.639048499188, 221.16943650222743
16662.09053894731, 187.67337951366653
19222.671631254445, 160.8932743186166
23577.922901005666, 132.3861329019788
28919.936780374002, 107.81754785023324
34052.6391326708, 79.24281248762826
42629.648494899724, 54.76264274395597
50195.54667680191, 38.235481849637324
57909.450729729935, 28.980772350004916
72495.39512996568, 23.122862930969227
78666.01302659698, 21.7418097386091
81945.57347732595, 20.027856569263168
85361.85773464115, 17.88958628491285
100511.8565509718, 16.994642597150857
109067.16216376513, 13.84072977471598
118350.6729519469, 10.277490234857787
133778.3420462517, 9.864077223665532
154337.00438235712, 7.029977541515428
193210.6413527086, 6.95819003031527
205418.03993229644, 4.908356595366057
205418.03993229644, 4.038691805585621
232195.42502889835, 3.9974501897318966
232195.42502889835, 3.0298871185849277
321929.31993069075, 2.998947040302154
335350.44838190323, 2.0096496723522765
363894.59900993895, 2.0096496723522765
371402.47143871966, 0.9796810225578578
