GalaxyName References Mass Reff error_logReff Rgc Region Vcirc Omega Age Kappa RhoTidal SigmaGas SigmaStar SigmaSFR GalaxyDistance SigmaGas1D
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G nan nan nan nan "" nan nan 100000000.0 nan nan nan nan nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 478630.092322638 1.67 0.031206789118796534 0.7 "" 117.18691341871242 169.26278171052968 100000000.0 285.5352245732839 1.8190974407374552 163.11075019447412 626.3725027400953 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 173780.08287493762 6.18 0.015108950422200508 0.7 "" 117.18691341871242 169.26278171052968 100000000.0 285.5352245732839 1.8190974407374552 163.11075019447412 626.3725027400953 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 85113.80382023759 11.71 0.01001362170058736 0.88 "" 126.42160644673085 145.78198298450323 100000000.0 233.55226119493233 1.6904032869582326 145.7600003388633 500.23291156313024 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 41686.93834703355 4.07 0.0021341252181977972 2.61 "" 125.09669934872663 48.217538326877865 100000000.0 59.43630594202705 0.3223163666297104 49.45001284093892 57.60171018631763 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 165958.69074375596 8.96 0.013086998896638167 0.8 "" 123.42595894633438 154.51050723522505 100000000.0 251.0955827735914 1.8008249871592181 153.23258930115182 552.8327834461701 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 25703.957827688646 3.71 0.006438327898835269 1.12 "" 134.3473600873304 120.62479004842234 100000000.0 182.6034295794735 1.3779540258030711 125.45311664084132 370.5382578763184 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 61659.50018614822 4.66 0.017707285742836445 0.87 "" 126.0471505091813 146.87304851584346 100000000.0 235.7451763922647 1.7042059994833558 146.67668981561806 506.5637332996263 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 52480.74602497723 5.75 0.012084716018177441 1.01 "" 131.28953363487514 131.59813107708027 100000000.0 205.04436362961135 1.510968024131631 134.3889726254552 425.2520137286593 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 25118.864315095823 3.87 0.008416559726807207 1.66 "" 134.77260022979215 82.01917716955944 100000000.0 111.20980408171188 0.8139926305750775 89.53947412963441 188.84774806501756 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 95499.25860214369 1.83 0.00711958167054511 3.75 "" 113.0671252631783 30.1693498303539 100000000.0 35.808284989052744 0.13101460328835557 24.25493476041231 13.863559643862295 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 31622.776601683792 4.01 0.007039686115638745 1.81 "" 133.63309228857796 74.39377391415678 100000000.0 99.2492630468223 0.685881219487279 81.5253973823745 156.55007860954709 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 85113.80382023759 8.66 0.0070209269591749715 0.81 "" 123.80041488388393 153.41944170388481 100000000.0 248.902667576259 1.787022274634095 152.27053717069728 545.8599566877713 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 32359.36569296281 8.41 0.016524879216294953 1.25 "" 135.85578118530373 109.69657753135681 100000000.0 159.41765436816016 1.258085848124166 115.67555455993285 315.09730951270296 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 27542.28703338169 4.65 0.0065377663942425 1.69 "" 134.57661110295237 80.12968065708921 100000000.0 108.18039715577177 0.7801779406628797 87.86986008813066 181.84628995578805 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 50118.72336272725 8.26 0.01156716537756845 1.03 "" 132.03844550997428 129.4160000143998 100000000.0 200.6585332349466 1.4833625990813848 132.71498315600834 414.69398803510444 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 58884.36553555884 4.37 0.026335935401455773 0.81 "" 123.80041488388393 153.41944170388481 100000000.0 248.902667576259 1.787022274634095 152.27053717069728 545.8599566877713 nan 3630.0 nan
M82 2008ApJ...679..404M;2020MNRAS.492..993C;2021MNRAS.500.4422C;2012ApJ...757...24G 13182.567385564074 5.85 0.005939069837993188 2.23 "" 129.6287024042111 58.400702698092374 100000000.0 74.49611219063263 0.45059154305989524 62.712050871163086 92.66190255770694 nan 3630.0 nan
