ID,RA,Dec,mu_eff,mu_std_eff,alpha,alpha_std,gamma,gamma_std,mu_king,mu_std_king,rc,rc_std,rt,rt_std,rfit,Tile
HW36,14.7667,-73.8414,20.9466,0.2714,5.5703,3.141,5.54,3.6005,20.9961,0.2858,4.0147,1.483,13.0774,2.6624,10,3_5
HW37,13.8725,-71.8852,,,,,,,19.9578,0.4205,11.284,8.7046,19.7953,3.0101,20,5_6
HW38,14.8576,-73.817,22.4464,0.1845,9.7782,7.5821,2.736,2.3775,22.4796,0.1787,10.7641,5.7151,41.0482,36.0123,20,3_5
HW40,15.106,-71.2949,21.4962,0.0752,7.0819,0.8962,2.9946,0.2856,21.4678,0.0789,5.4987,0.4818,64.0884,10.5615,32,5_6
HW41,15.1485,-71.4601,22.4519,0.2111,9.2688,4.5866,2.01,0.6973,22.8041,0.1657,18.3849,7.0875,107.0855,86.4836,50,5_6
HW43,15.2849,-71.7537,21.0962,0.1574,5.4,2.2833,2.0216,0.6924,21.2176,0.1497,8.4998,2.6894,35.2961,14.9848,20,5_6
HW44,15.3429,-73.7883,21.453000000000007,0.3047,4.6907,3.71,2.01,1.2948,21.9121,0.1383,14.349,11.3776,25.2559,14.294,16,3_6
HW48,16.2437,-73.6375,19.8475,0.0984,3.6596,0.4922,2.4887,0.2042,19.7985,0.1076,3.06,0.3122,72.9434,27.3055,20,3_6
HW50,16.5115,-71.711,21.7222,0.5256,3.7339,3.3824,2.01,1.1295,,,,,,,20,5_6
HW52,16.7359,-73.2362,20.8775,0.1814,8.1269,4.5703,2.954,1.7024,21.0253,0.1144,14.0458,4.6693,24.0856,2.9935,20,3_6
HW53,16.7452,-73.5779,21.9861,0.0844,5.5182,2.8705,2.9337,1.9864,22.0391,0.0671,7.3129,2.7906,14.3233,4.896,8,3_6
HW54,16.8157,-72.1007,21.9433,0.3044,6.1662,4.8638,2.01,1.2366,,,,,,,25,4_6
HW55,16.8292,-73.3783,22.172,0.1662,6.8829,4.1705,2.01,1.1398,22.4236,0.0846,17.6377,8.6983,30.6644,10.2471,20,3_6
HW59,17.223,-73.2419,,,,,,,20.0301,0.2259,2.1344,0.6253,3.3228,0.123,3,3_6
HW61,17.427,-72.2952,21.023000000000003,0.1859,6.5382,4.7327,2.2772,1.6855,21.1064,0.1015,12.2324,4.6917,21.2975,4.2204,16,4_6
HW68,18.4701,-73.4165,21.1859,0.4563,2.1949,1.5021,2.01,0.7756,21.6233,0.3934,4.0788,2.3625,24.4036,22.1525,12,3_6
HW74,19.2002,-73.1601,22.0206,0.2382,8.4453,6.4567,2.3302,1.66,22.0985,0.1884,12.3455,5.6869,38.5358,17.0208,25,3_7
