# # From Leroy  2008AJ....136.2782L
2.000000029802322388e-01 2.018999938964843750e+02
6.000000238418579102e-01 2.131999969482421875e+02
1.000000000000000000e+00 1.877000122070312500e+02
1.399999976158142090e+00 1.406000061035156250e+02
1.700000047683715820e+00 1.135000000000000000e+02
2.099999904632568359e+00 1.027000045776367188e+02
2.500000000000000000e+00 8.109999847412109375e+01
2.900000095367431641e+00 4.840000152587890625e+01
3.299999952316284180e+00 2.529999923706054688e+01
3.700000047683715820e+00 2.070000076293945312e+01
4.099999904632568359e+00 2.979999923706054688e+01
4.500000000000000000e+00 4.269999694824218750e+01
4.800000190734863281e+00 4.710000228881835938e+01
5.199999809265136719e+00 4.079999923706054688e+01
5.599999904632568359e+00 2.759999847412109375e+01
6.000000000000000000e+00 1.540000057220458984e+01
6.400000095367431641e+00 1.039999961853027344e+01
6.800000190734863281e+00 nan
7.199999809265136719e+00 nan
7.599999904632568359e+00 nan
8.000000000000000000e+00 nan
8.300000190734863281e+00 nan
8.699999809265136719e+00 nan
9.100000381469726562e+00 nan
9.500000000000000000e+00 nan
9.899999618530273438e+00 nan
1.030000019073486328e+01 nan
1.069999980926513672e+01 nan
