# %ECSV 0.9
# ---
# datatype:
# - {name: # _idx, datatype: int64}
# - {name: area_pc2, unit: pc2, datatype: float64, description: projected area of structure}
# - {name: rad_pc, unit: pc, datatype: float64, description: equivalent radius in pc}
# - {name: e_rad_pc, datatype: float64, description: frac error in radius}
# - {name: vrms_k, unit: km / s, datatype: float64, description: rms linewidth in km/s}
# - {name: e_vrms_k, datatype: float64, description: frac error in linewidth}
# - {name: axratio, unit: '', datatype: float64, description: minor to major axis ratio}
# - {name: e_axratio, datatype: float64, description: frac error in axis ratio}
# - {name: mlumco, unit: solMass, datatype: float64, description: CO-based mass with alphascale=2.4 from GMC104_12CO_3p5as.pbcor.fits.gz}
# - {name: e_mlumco, datatype: float64, description: frac error in luminous mass}
# - {name: siglum, unit: solMass / pc2, datatype: float64, description: average surface density from mlumco}
# - {name: e_siglum, datatype: float64, description: same as e_mlumco}
# - {name: mvir, unit: solMass, datatype: float64, description: virial mass}
# - {name: e_mvir, datatype: float64, description: frac error in virial mass}
# - {name: sigvir, unit: solMass / pc2, datatype: float64, description: virial surface density}
# - {name: e_sigvir, datatype: float64, description: same as e_mvir}
# - {name: alpha, unit: '', datatype: float64, description: virial parameter}
# - {name: e_alpha, datatype: float64, description: frac error in virial parameter}
# - {name: 8um_avg, unit: MJy / sr, datatype: float64}
# - {name: e_8um_avg, datatype: float64}
# - {name: flux12, unit: Jy km / s, datatype: float64, description: 12CO flux within the structure}
# - {name: flux13, unit: Jy km / s, datatype: float64, description: 13CO flux within the structure}
# - {name: mlte, unit: solMass, datatype: float64, description: LTE mass using H2/13CO=3000000.0}
# - {name: e_mlte, unit: '', datatype: float64, description: fractional unc in mlte}
# - {name: siglte, unit: solMass / pc2, datatype: float64, description: LTE mass divided by area in pc2}
# - {name: e_siglte, unit: '', datatype: float64, description: 'fractional unc in siglte [same as e_lte]'}
# schema: astropy-2.0
# _idx area_pc2 rad_pc e_rad_pc vrms_k e_vrms_k axratio e_axratio mlumco e_mlumco siglum e_siglum mvir e_mvir sigvir e_sigvir alpha e_alpha 8um_avg e_8um_avg flux12 flux13 mlte e_mlte siglte e_siglte
0 28.61664418135625 2.658560954533718 0.07080496616139485 0.737841755247948 0.05765722056580905 0.5835423280332999 0.07014678225299206 1860.4954715330941 0.05 65.01445311834318 0.05 1682.6043028870745 0.12238726614089511 58.798099882839914 0.12238726614089511 0.9043850569013033 0.15303022389017604 1.516318893836509 0.027460964538203642 29.438948539267013 3.992906572567139 1889.7377198621673 0.014168234979733955 66.03631466659994 0.014168234979733955
1 23.122483542841245 2.2536032032295226 0.05770935741061473 0.7410425264758197 0.06078857225349559 0.5221619487935882 0.08303938055553821 1709.699124011424 0.05 73.9409813328962 0.05 1438.7079062680205 0.12854986060665638 62.221166839729314 0.12854986060665638 0.8414977150438121 0.15063110497429175 1.5494838397869464 0.030778955566862047 27.052870473400894 3.7630256391408685 1788.9764991967606 0.014261736858849714 77.36956524943146 0.014261736858849714
2 4.260178035212173 1.052359066617485 0.1560330736393243 0.2712039842337601 0.19955944857403876 0.34298852851116346 0.3145830531071098 200.77345131544894 0.05 47.127948563644864 0.05 89.98393759263449 0.4628370162000485 21.12210730370402 0.4628370162000485 0.4481864360206398 0.5373503723549113 1.4525131057048666 0.05780315298444434 3.1768735151946528 0.5872040103429675 285.1027297105721 0.026170006796424165 66.92272655135007 0.026170006796424165
3 4.421770995168497 1.1847791920493558 0.18210415958304246 0.2037470253919745 0.2971984191088811 0.4143486128606598 0.3638057268628583 81.03669581338049 0.05 18.326750956104746 0.05 57.17799043335188 0.6940825954484366 12.931015761745265 0.6940825954484366 0.7055814635511194 0.7358754439193484 1.3659644225903127 0.040686080351324504 1.2822579829859884 0.1342604114577052 58.70969732456248 0.08904761435318376 13.277416987155679 0.08904761435318376
4 5.817346558427658 1.1333971634281388 0.08647711205884454 0.3622873892617018 0.1620679454662056 0.6720330821679658 0.19736963179487474 418.0641992916537 0.05 71.86510122660636 0.05 172.9408029767176 0.35547702254965236 29.728468338572036 0.35547702254965236 0.41367044408428066 0.373985616261079 1.7915731057374165 0.03556626910142432 6.615103619440772 1.2649123091684227 632.6691255704555 0.018869375290281456 108.75561894346838 0.018869375290281456
5 327.71052279142464 11.53616592792251 0.05 1.2369058645413145 0.05 0.7778650808294909 0.02722623883032108 48560.49910111062 0.05 148.18107971472597 0.05 20518.410149569052 0.03680844789064571 62.61138633814406 0.03680844789064571 0.42253293375025835 0.04305924662696704 1.7741590043603679 0.010535797331885017 768.3813626712675 120.41218884185949 60037.91013320314 0.0019107063585207392 183.20409616939583 0.0019107063585207392
6 314.51866115135385 11.50861527968401 0.05 1.2133182049580709 0.05 0.7733757153639815 0.0281919095054933 46184.693654540664 0.05 146.84245915798138 0.05 19696.1532944078 0.03699308834017363 62.62316271570781 0.03699308834017363 0.42646495485569524 0.04585694438295309 1.7781219606252543 0.010652191177334954 730.7885634509443 117.85599196266962 58908.72813341134 0.0018806811717367246 187.29803795350338 0.0018806811717367246
7 329.42928427459645 11.539213524493274 0.05 1.2381436067981384 0.05 0.7782588107812287 0.028591877088959654 48749.336765976295 0.05 147.98118774814563 0.05 20564.92662303394 0.031130968368635558 62.4259214487198 0.031130968368635558 0.4218503878679813 0.03788299504710371 1.7751029632030388 0.010525099611002476 771.3693703164399 120.62495516888961 60132.50518627829 0.0019133180024494191 182.53539699328832 0.0019133180024494191
8 3.643186733560755 0.9108283154568225 0.2281527623250489 0.2569407688568299 0.4252206437838437 0.41201670569668114 0.29925423117077127 82.69050372348096 0.05 22.69730040509382 0.05 69.90552111840903 0.8886772410072412 19.18801484273226 0.8886772410072412 0.8453875350932046 0.9731652997962337 2.339154722229127 0.04310984283842139 1.3084264152431433 0.12854212960847602 57.125489493094655 0.0928472309711091 15.680088249899205 0.0928472309711091
9 307.30573902966705 11.518070831942488 0.05 1.2047151633396398 0.05 0.771165055802091 0.031159920548085685 45117.846772580364 0.05 146.81745585045752 0.05 19433.78590154014 0.0377273849408297 63.23925470088282 0.0377273849408297 0.43073389560227654 0.0466477211040185 1.770906733192343 0.010575266538642585 713.9076156347571 116.4548475236178 58285.651961792006 0.001872349423733313 189.66665622917364 0.001872349423733313
