# %ECSV 0.9
# ---
# datatype:
# - {name: # _idx, datatype: int64}
# - {name: area_pc2, unit: pc2, datatype: float64, description: projected area of structure}
# - {name: rad_pc, unit: pc, datatype: float64, description: equivalent radius in pc}
# - {name: e_rad_pc, datatype: float64, description: frac error in radius}
# - {name: vrms_k, unit: km / s, datatype: float64, description: rms linewidth in km/s}
# - {name: e_vrms_k, datatype: float64, description: frac error in linewidth}
# - {name: axratio, unit: '', datatype: float64, description: minor to major axis ratio}
# - {name: e_axratio, datatype: float64, description: frac error in axis ratio}
# - {name: mlumco, unit: solMass, datatype: float64, description: CO-based mass with alphascale=2.4 from N59C_12CO_3p5as.pbcor.fits.gz}
# - {name: e_mlumco, datatype: float64, description: frac error in luminous mass}
# - {name: siglum, unit: solMass / pc2, datatype: float64, description: average surface density from mlumco}
# - {name: e_siglum, datatype: float64, description: same as e_mlumco}
# - {name: mvir, unit: solMass, datatype: float64, description: virial mass}
# - {name: e_mvir, datatype: float64, description: frac error in virial mass}
# - {name: sigvir, unit: solMass / pc2, datatype: float64, description: virial surface density}
# - {name: e_sigvir, datatype: float64, description: same as e_mvir}
# - {name: alpha, unit: '', datatype: float64, description: virial parameter}
# - {name: e_alpha, datatype: float64, description: frac error in virial parameter}
# - {name: 8um_avg, unit: MJy / sr, datatype: float64}
# - {name: e_8um_avg, datatype: float64}
# - {name: flux12, unit: Jy km / s, datatype: float64, description: 12CO flux within the structure}
# - {name: flux13, unit: Jy km / s, datatype: float64, description: 13CO flux within the structure}
# - {name: mlte, unit: solMass, datatype: float64, description: LTE mass using H2/13CO=3000000.0}
# - {name: e_mlte, unit: '', datatype: float64, description: fractional unc in mlte}
# - {name: siglte, unit: solMass / pc2, datatype: float64, description: LTE mass divided by area in pc2}
# - {name: e_siglte, unit: '', datatype: float64, description: 'fractional unc in siglte [same as e_lte]'}
# schema: astropy-2.0
# _idx area_pc2 rad_pc e_rad_pc vrms_k e_vrms_k axratio e_axratio mlumco e_mlumco siglum e_siglum mvir e_mvir sigvir e_sigvir alpha e_alpha 8um_avg e_8um_avg flux12 flux13 mlte e_mlte siglte e_siglte
0 5.538231445775825 1.018072368709124 0.1379375711611656 0.23379943954238142 0.16073019970794136 0.47288469553056467 0.25642961459964536 254.62495604867834 0.05 45.975860442396 0.05 64.69556314370462 0.3329032092402516 11.681628652961022 0.3329032092402516 0.25408178423538474 0.4233913205728556 6.05416780188482 0.032254556556266176 4.028975398535443 0.518792366179917 259.2281341159105 0.03575371764792597 46.80702434594559 0.03575371764792597
1 4.186726689777481 0.8682253671072817 0.13426783241208987 0.21197335189762992 0.19396560060086704 0.8024139298822967 0.29424252782195903 217.78259473956976 0.05 52.0173899269132 0.05 45.352780773660434 0.46145118129790963 10.832515264107407 0.46145118129790963 0.20824795860245168 0.5696128259892407 7.619412649723522 0.01172194193819628 3.446012212761593 0.39676900622475453 198.09217202553 0.03605710283303137 47.31433090896563 0.03605710283303137
2 7.5214177725125255 1.3989881991881385 0.0803063271184508 0.32058678680717057 0.14062593179392313 0.3311068699409218 0.19230692510563954 489.09245560752834 0.05 65.02663066994447 0.05 167.15301093940053 0.29598653020112975 22.223604112282032 0.29598653020112975 0.3417615811140875 0.379885805592744 8.917074891738594 0.05502950112473766 7.738996046592916 0.9069511307258907 455.63095419095725 0.024153417336357706 60.57780168202969 0.024153417336357706
3 4.0985850752558495 0.8334637869980458 0.13791777426652854 0.32992500849287987 0.18545992295493433 0.8575598883706053 0.22881018620807334 296.6634891975343 0.05 72.38192784836006 0.05 105.46931457733197 0.399363009830207 25.733103654252723 0.399363009830207 0.35551835132332343 0.4909883036145609 10.076550856286053 0.03053704122527837 4.694158231003335 0.5155415994281185 263.2534179143822 0.03184986372244124 64.2303168241418 0.03184986372244124
4 2.8058413956052584 0.6980999241821837 0.17319182748427303 0.24454902646255802 0.21652557069439185 0.6907903222961288 0.308738511408113 149.74694466875906 0.05 53.36971109746444 0.05 48.5353742641173 0.4090246155191801 17.29797498181381 0.4090246155191801 0.3241159568996735 0.5384644194006619 7.244019430969398 0.03972709723763174 2.369472052282485 0.34190662332110144 169.6471956048263 0.03617279861092813 60.462147244153506 0.03617279861092813
5 1.2486728723897749 0.5074473427112137 0.28331551840667807 0.17885064376983645 0.4110957820342505 0.6839687104438444 0.7167542301854523 31.4177942845459 0.05 25.16094885958153 0.05 18.870391636480917 0.9037707650258759 15.112358131370135 0.9037707650258759 0.6006275127265404 0.9885819216878199 7.657098433550666 0.03973434602416155 0.4971292756510793 0.05373472986296064 23.88007444657797 0.13232890034858058 19.124363934386633 0.13232890034858058
6 2.3063722466493486 0.6522697199314944 0.22642297445488127 0.1691783383379728 0.3130902013338328 0.6606884454849229 0.43658465254484075 81.09033344500757 0.05 35.15925651759554 0.05 21.703293497269115 0.649647227670962 9.4101433664055 0.649647227670962 0.26764341167726824 0.8324840002654186 8.462751841089528 0.034779905910075584 1.283106562968546 0.13823637914419432 65.53538265273556 0.06928442611427063 28.414919901999365 0.06928442611427063
7 2.3063722466493486 0.7928998187217441 0.21547601845995162 0.1638012436200329 0.4140643750232346 0.30741130513053744 0.4694484731832972 63.86321996004814 0.05 27.689901338705123 0.05 24.732135859426453 0.7760774132389366 10.72339293683264 0.7760774132389366 0.3872672858477618 0.9004864497654728 8.26979258106013 0.03521378169894277 1.0105189592454709 0.07912992998326326 37.433482037612904 0.1057523251182056 16.230459801966276 0.1057523251182056
8 3.158407853691783 0.8153648069624133 0.17518629030929053 0.14847027393965387 0.21579563274222457 0.4542592971105502 0.3436348751689649 100.60779758298524 0.05 31.853960046796153 0.05 20.89488078231033 0.4604664285369951 6.615637292658969 0.4604664285369951 0.2076864943303765 0.6160645992729573 9.4333157273226 0.05268576632006352 1.5919348399168791 0.20666375870152104 96.72972230460758 0.05337924244329566 30.62610238622053 0.05337924244329566
9 2.1594695557799635 0.7516847804604984 0.30834666782758396 0.10497454928463215 0.5207073939085977 0.8467146727049494 0.6577754839574845 48.32051962121564 0.05 22.376105970969846 0.05 9.629698944552125 1.081159179499993 4.459289050302931 1.081159179499993 0.19928798407052112 1.2403581401688692 6.785245940798805 0.022703534357845112 0.7645840080231593 0.07828638649497169 37.25389190465928 0.12470147143931663 17.251408710507988 0.12470147143931663
