# from Cuevas-Otahola 2021MNRAS.500.4422C
ID R_g gamma gamma_minus gamma_plus R_c Rc_minus Rc_plus R_h Rh_minus Rh_plus R_t Rt_minus Rt_plus Mbound_M_ratio rho_0 rho_0_minus rho_0_plus Sigma_0 Sigma_0_minus Sigma_0_plus M M_minus M_plus L L_minus L_plus rho_h rho_h_minus rho_h_plus I_h I_h_minus I_h_plus sigma_p sigma_p_minus sigma_p_plus Reff_ini_Rjac_ini
D38	1.14	2.58	0.06	0.07	2.02	0.13	0.14	7.53	0.19	0.21	5.21	0.35	0.35	0.40	1.74	0.09	0.09	2.35	0.08	0.09	4.14	0.29	0.29	5.03	0.29	0.29	0.89	0.61	0.60	2.47	0.61	0.60	1.10	0.32	0.33	0.30
D40	2.03	3.38	0.04	0.06	2.56	0.05	0.11	4.72	0.04	0.07	7.19	0.10	0.20	0.67	1.90	0.06	0.08	2.62	0.07	0.10	4.39	0.03	0.09	5.27	0.03	0.09	1.74	0.03	0.09	3.13	0.03	0.09	1.55	0.07	0.15	0.10
D42	1.71	3.10	0.10	0.09	1.87	0.15	0.13	3.96	0.14	0.12	7.15	0.31	0.27	0.71	1.97	0.11	0.10	2.56	0.14	0.13	4.11	0.18	0.16	4.99	0.18	0.16	1.69	0.15	0.13	3.00	0.15	0.13	1.35	0.26	0.22	0.12
D44	1.84	2.87	0.19	0.21	2.70	0.42	0.45	6.79	0.33	0.36	8.90	0.82	0.86	0.59	1.93	0.14	0.15	2.67	0.15	0.15	4.60	0.54	0.56	5.49	0.54	0.56	1.48	0.99	1.03	3.03	0.99	1.03	1.76	0.69	0.73	0.14
D48	1.39	2.70	0.05	0.07	2.51	0.14	0.16	7.65	0.12	0.16	7.85	0.32	0.37	0.51	1.97	0.08	0.09	2.68	0.08	0.09	4.60	0.25	0.28	5.49	0.25	0.28	1.33	0.55	0.61	2.93	0.55	0.61	1.76	0.29	0.33	0.20
D49	2.84	3.49	0.05	0.03	2.26	0.08	0.04	4.00	0.05	0.03	8.54	0.17	0.08	0.79	1.91	0.08	0.06	2.58	0.11	0.08	4.22	0.08	0.04	5.11	0.08	0.04	1.79	0.07	0.03	3.10	0.07	0.03	1.42	0.13	0.06	0.07
D50	0.86	3.85	0.06	0.10	1.71	0.07	0.11	2.75	0.05	0.08	11.97	0.15	0.23	0.94	3.62	0.08	0.10	4.17	0.13	0.16	5.53	0.05	0.08	6.42	0.05	0.08	3.59	0.01	0.01	4.74	0.01	0.01	8.12	0.11	0.17	0.06
D51	2.20	3.99	0.20	0.24	3.94	0.32	0.39	6.13	0.12	0.15	5.53	0.55	0.67	0.45	1.80	0.12	0.13	2.71	0.13	0.14	4.78	0.14	0.17	5.67	0.14	0.17	1.79	0.21	0.26	3.29	0.21	0.26	1.71	0.40	0.49	0.09
D52	1.42	3.07	0.08	0.05	3.36	0.18	0.12	7.25	0.10	0.07	5.12	0.29	0.22	0.36	1.58	0.08	0.07	2.42	0.08	0.07	4.48	0.15	0.13	5.37	0.15	0.13	1.28	0.30	0.26	2.85	0.30	0.26	1.31	0.23	0.18	0.20
D54	2.91	3.16	0.02	0.05	2.10	0.02	0.09	4.30	0.02	0.07	9.58	0.05	0.18	0.77	1.86	0.04	0.08	2.49	0.06	0.10	4.13	0.02	0.10	5.02	0.02	0.10	1.61	0.02	0.09	2.95	0.02	0.09	1.30	0.04	0.14	0.08
D57	2.24	2.99	0.07	0.06	3.19	0.15	0.15	7.27	0.10	0.09	6.74	0.27	0.27	0.47	1.46	0.08	0.08	2.27	0.08	0.08	4.31	0.15	0.16	5.20	0.15	0.16	1.11	0.29	0.33	2.68	0.29	0.33	1.13	0.22	0.22	0.15
D58	2.64	3.02	0.03	0.05	2.21	0.05	0.11	4.92	0.04	0.08	8.24	0.10	0.22	0.68	1.67	0.06	0.08	2.33	0.07	0.10	4.04	0.06	0.14	4.93	0.06	0.14	1.34	0.07	0.18	2.74	0.07	0.18	1.10	0.09	0.19	0.10
