# # From Leroy  2008AJ....136.2782L
2.000000029802322388e-01 2.430000114440917969e+01
5.000000000000000000e-01 2.230000114440917969e+01
8.999999761581420898e-01 1.870000076293945312e+01
1.200000047683715820e+00 1.579999923706054688e+01
1.600000023841857910e+00 1.509999942779541016e+01
1.899999976158142090e+00 1.570000076293945312e+01
2.299999952316284180e+00 1.640000152587890625e+01
2.700000047683715820e+00 1.640000152587890625e+01
3.000000000000000000e+00 1.500000000000000000e+01
3.400000095367431641e+00 1.369999980926513672e+01
3.700000047683715820e+00 1.350000000000000000e+01
4.099999904632568359e+00 1.380000019073486328e+01
4.400000095367431641e+00 1.350000000000000000e+01
4.800000190734863281e+00 1.220000076293945312e+01
5.099999904632568359e+00 1.129999923706054688e+01
5.500000000000000000e+00 1.060000038146972656e+01
5.800000190734863281e+00 9.800000190734863281e+00
6.199999809265136719e+00 nan
6.500000000000000000e+00 nan
6.900000095367431641e+00 nan
7.300000190734863281e+00 nan
7.599999904632568359e+00 nan
8.000000000000000000e+00 nan
8.300000190734863281e+00 nan
8.699999809265136719e+00 nan
9.000000000000000000e+00 nan
9.399999618530273438e+00 nan
9.699999809265136719e+00 nan
1.010000038146972656e+01 nan
1.039999961853027344e+01 nan
1.080000019073486328e+01 nan
1.110000038146972656e+01 nan
1.150000000000000000e+01 nan
1.189999961853027344e+01 nan
1.219999980926513672e+01 nan
